qId,category,official_source_url,official_pdf_sha256,pdf_page_1based,source_kind,source_ref,source_hash,expected_before_stem_sha256,replacement_stem_sha256,expected_label_sequence,insertion_offsets,source_statement_count,protected_fields,status
H28takken-007,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,5,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/07.html,cbf4ee8281d480fef7476db7f140813d08334dc3c80d760c586d6412dc23ff43,7871e3748f80a15fc2f83bdc8260cdb51ee3d5f617899d7012da54d76bdd328b,d816d218d6a4360c0681b8f01afaa562222d3643111393a09c62f80a738f8591,ア・イ・ウ,137;187;243,3,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H28takken-028,combination,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,15,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/28.html,16af863bb3c2151fb094de6f1b1e9692de11f7436aa213c3aa831c7a4b68b244,e4c9bb4090e7b390a771c9de8bcc4b0f0cf6b17d2918eedbdfa1c478e72bd0f8,33d6f55c6d9bb8a802a0ae53a7523f083c2aa6d21a3cd7e85dc2926cf365f7b2,ア・イ・ウ・エ,120;223;292;372,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H28takken-029,combination,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,15,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/29.html,7f252d00393edd44d4ea7e0ca17c4c673f0164ac512a981ce048fbbee4c19580,e73650739c7fcbae8e511718db9ea43a681161deec5adb8f1e61e103b1ed51b2,8bbdf421d51f916ef1f1f8f3046ea9a703352f4fe40d52e0ea07556c44ebeae7,ア・イ・ウ・エ,69;164;222;298,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H28takken-033,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,17,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/33.html,fe506c23d5ef121270902a1b351b0d1f1b72180da84fd96d7a50bb08d34bd021,4a1831b2004ab73190250f4fda15b17fd1417a496dc9d77324979ba291dd9b44,e5957b8103d4b6b875c418f98642130974e0fc8338747e7fc73072d9421d5c46,ア・イ・ウ,74;162;237,3,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H28takken-036,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,19,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/36.html,adab5fa4cf746f1a2519e6f9720ab2f11b3c19a5935dc40f469058e4a5835de1,3c8219eafacd07cf8605d8d7d7b2487987099eef5086cb5ba88b9e9781b13263,0cdb7a91ea559e60538322812a4fa19e056d8fd0d53ee8dd02e7f53290d500d9,ア・イ・ウ・エ,60;181;272;376,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H28takken-037,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,20,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/37.html,cfaa6dd51474c7355f627b377ce90906973c11a6e2a0e3f5a2a72fecf9cfd0fd,c980aa2ee08aff03442312953f9f47e7d4fa1e402fe1f062e306646dfac0f0eb,08f700d1d31e4464e100a0b22abac7848ba27e8e868d5c8f6636abedcd119d39,ア・イ・ウ・エ,54;156;275;359,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H28takken-038,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,21,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/38.html,c39ad18f731554c5866a28c144b5e7c038143c0bea68cbed469c264e28ea4165,8b7349f7e51b2505b515601b2362c593023b3a6560784c8bd725e33fc39fee65,b55c9d2f4f69f5fe303801deb6c185d50636355d4cd02def38066e23c41e6f8b,ア・イ・ウ・エ,80;178;303;432,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H28takken-043,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H28-q_a.pdf,87923a2870184f9a0a26c76c056255aa94fa50242ff9aeda0a61eadf64699983,23,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2016/43.html,41248347ac2d79c9f12bdf9d8d717d2b8b833dc8aee1ab382da4502f23402863,a8d10debb3c3e1c02ffe9c8f0ff2dcf43f35fbacb7d15caf0826547a8b94c56d,991744b07400d9cf4be23846de75f0a2f402e7367970af6e9b892e9fc7df1668,ア・イ・ウ・エ,143;213;323;421,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H29takken-016,combination,https://www.retio.or.jp/wp-content/uploads/2024/10/H29-q_a.pdf,8dea64d2b2eef90b99fc5c2e00c1bab86ec59aa16a8619d179df20ca215f162c,9,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2017/16.html,c73eb39501a5392e5b21c1298c431603a3274ef54647fba94e840a560b7b43e2,64827ccb4aea1a03500b624e98c4a540a24b25f0626fb8a93fe37d2b5059d1ca,82d3e9b8ba1bbae173aef6f59caefeabf9372761a80d955e5249c45b707987fb,ア・イ・ウ・エ,31;123;205;319,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H29takken-027,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H29-q_a.pdf,8dea64d2b2eef90b99fc5c2e00c1bab86ec59aa16a8619d179df20ca215f162c,14,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2017/27.html,b5efc5b65cb8f82522e4605e3da3668867135fadd360e539a7b0d606854ce889,2fb5e7025e7527d4ff08317d101b7ab0b9ddeca8c9904ebbe931b25b1c339beb,06e567f9fb87ad0103209340b5975f65b751c2b0ec9400036b58580c0997000d,ア・イ・ウ,92;203;301,3,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H29takken-028,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H29-q_a.pdf,8dea64d2b2eef90b99fc5c2e00c1bab86ec59aa16a8619d179df20ca215f162c,15,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2017/28.html,65c1745ea15ccda5fe7ae331de70a13fcd44c53899c4987ce0f628ed6ff6da08,8d059d0ec1638af2500dbbc4ee25b697bc95bb2d4143dc5b35905d65653ab7f4,63b9bb5b54ea7116633b40ee9e712392d85e2584b7528228873bcd004ffabd44,ア・イ・ウ・エ,71;147;227;337,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H29takken-031,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H29-q_a.pdf,8dea64d2b2eef90b99fc5c2e00c1bab86ec59aa16a8619d179df20ca215f162c,16,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2017/31.html,f09e9797ad7f8d57081137789992ceb61bb28449ab1a141646c18bac454d73e1,9e47a768a3e1e0d461541eeba1c8bd15bf6bc2b449279236b1fbd25a7ac4d172,b812bcfcb11055d4ddc44ba4cafae7717ffea765bde925eaba7fb9617b8712a5,ア・イ・ウ,126;204;277,3,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H29takken-039,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H29-q_a.pdf,8dea64d2b2eef90b99fc5c2e00c1bab86ec59aa16a8619d179df20ca215f162c,20,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2017/39.html,599dedc1c48005757cb3d1b1161e0b93f20fba70022a65784427c3b17cc328d2,13fbd633efe50916bad64b4e4635cfa5290149d2e5892b5167158f308cdac747,9395d3632e08f1e66b01da2700a1cf92ecb0d98e568cbace3d50fb910665e1e6,ア・イ・ウ・エ,110;197;310;367,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
