row,qId,imageUrl,choiceA_original
275,R3gakkaB-021,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-021.png,（イ）R（ロ）S（ハ）工程（ニ）新工法標準画一的
276,R3gakkaB-022,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-022.png,（イ）R（ロ）S（ハ）が一定額以上の場合（ニ）発注者健康保険等工程表
277,R3gakkaB-023,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-023.png,（イ）R（ロ）S（ハ）最終原価（ニ）設計変更原価計算実行予算
278,R3gakkaB-024,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-024.png,（イ）R（ロ）S（ハ）最大能率（ニ）燃費能率直列化高め
279,R3gakkaB-025,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-025.png,（イ）R（ロ）S（ハ）統制機能（ニ）品質工程計画施工順序
280,R3gakkaB-026,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-026.png,（イ）R（ロ）S（ハ）ネットワーク式（ニ）グラフ式ガントチャート斜線式
281,R3gakkaB-027,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-027.png,（イ）R（ロ）S（ハ）グラフ式工程表（ニ）容易な所要日数順行法
282,R3gakkaB-028,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-028.png,（イ）R（ロ）S（ハ）かつ（ニ）保護帽警備員作業主任者
283,R3gakkaB-029,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-029.png,（イ）R（ロ）S（ハ）できる（ニ）特に注意して実施定格荷重その作業の前日まで
284,R3gakkaB-030,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-030.png,（イ）R（ロ）S（ハ）使用してはならない（ニ）作業指揮者安全な離隔その管理者
285,R3gakkaB-031,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-031.png,（イ）R（ロ）S（ハ）医師（ニ）技能講習リスクマネジメント2年
