qId,segmentId,type,difficulty,tag1,tag2,tag3,lawTag,revisionFlag,conceptId,variantGroupId,source_ref,imageUrl,stem,choiceA,choiceB,choiceC,choiceD,choiceE,explainA,explainB,explainC,explainD,explainE,correct,explainShort,explainLong,status,updatedAt
R1-A-Q001,R1-前半-main-1,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.1,,"土質試験結果の活用に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q002,R1-前半-main-2,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.2,,"土工における土量の変化率に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q003,R1-前半-main-3,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.3,,"盛土の情報化施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q004,R1-前半-main-4,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.4,,"建設発生土を盛土材料として利用する場合の留意点に関する次の記述のうち, 適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q005,R1-前半-main-5,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.5,,"軟弱地盤対策工法に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q006,R1-前半-main-6,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.6,,"コンクリート用細骨材に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q007,R1-前半-main-7,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.7,,"混和材を用いたコンクリートの特徴に関する次の記述のうち,適当でないものはどれ か。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q008,R1-前半-main-8,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.8,,"コンクリートの打込みに関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q009,R1-前半-main-9,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.9,,"暑中コンクリートに関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q010,R1-前半-main-10,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.10,,"鉄筋の重ね継手に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q011,R1-前半-main-11,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.11,,"コンクリートの養生に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q012,R1-前半-main-12,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.12,,"道路橋で用いられる基礎形式の種類とその特徴に関する次の記述のうち, 適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q013,R1-前半-main-13,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.13,,"既製杭の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
