qId,field,action,old_value_redacted,new_value_redacted,old_sha256,new_sha256,old_chars,new_chars,verification,source,official_question_url,official_question_pdf_sha256,official_question_page_1based,official_answer_url,official_answer_page_1based,official_answer_number,official_answer_key,applicable_law_as_of,canonical_import_state,deploy_bundle_state,direct_live_row_export,release_status
R6takken-028,stem,replace,sha256:b60adafe1fbaf4d3d0e5056698486f62b76698fcd06baadf22f1c6fec11a331c;chars:165,sha256:9f9907be1958fc9c649703194535907f5aea38f46cfc436766dc5c7dba470f76;chars:602,b60adafe1fbaf4d3d0e5056698486f62b76698fcd06baadf22f1c6fec11a331c,9f9907be1958fc9c649703194535907f5aea38f46cfc436766dc5c7dba470f76,165,602,manual_transcription_from_hash_verified_official_page_image,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,choiceA,preserve,sha256:700ce11280bd957d43462059f3187ddc6117f57fed968f3b1610dcc6c1fe3c35;chars:3,sha256:700ce11280bd957d43462059f3187ddc6117f57fed968f3b1610dcc6c1fe3c35;chars:3,700ce11280bd957d43462059f3187ddc6117f57fed968f3b1610dcc6c1fe3c35,700ce11280bd957d43462059f3187ddc6117f57fed968f3b1610dcc6c1fe3c35,3,3,matched_official_question_page,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,choiceB,preserve,sha256:9f2f57553fd64785a8ef2608339221257a99fa9aa85351fde0bad0d468b8d828;chars:3,sha256:9f2f57553fd64785a8ef2608339221257a99fa9aa85351fde0bad0d468b8d828;chars:3,9f2f57553fd64785a8ef2608339221257a99fa9aa85351fde0bad0d468b8d828,9f2f57553fd64785a8ef2608339221257a99fa9aa85351fde0bad0d468b8d828,3,3,matched_official_question_page,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,choiceC,preserve,sha256:822544f0d459ceca53a9a328ab89ca5ebd42a387bb75854e8b59376a40d49e99;chars:3,sha256:822544f0d459ceca53a9a328ab89ca5ebd42a387bb75854e8b59376a40d49e99;chars:3,822544f0d459ceca53a9a328ab89ca5ebd42a387bb75854e8b59376a40d49e99,822544f0d459ceca53a9a328ab89ca5ebd42a387bb75854e8b59376a40d49e99,3,3,matched_official_question_page,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,choiceD,preserve,sha256:c2a2a0e2754ecdc35f5b9e7aa4149aa44c68acdb5402166955904e5442ab8e5f;chars:5,sha256:c2a2a0e2754ecdc35f5b9e7aa4149aa44c68acdb5402166955904e5442ab8e5f;chars:5,c2a2a0e2754ecdc35f5b9e7aa4149aa44c68acdb5402166955904e5442ab8e5f,c2a2a0e2754ecdc35f5b9e7aa4149aa44c68acdb5402166955904e5442ab8e5f,5,5,matched_official_question_page,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,choiceE,preserve,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,matched_official_question_page,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,correct,preserve,sha256:df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c;chars:1,sha256:df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c;chars:1,df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c,df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c,1,1,matched_official_answer_number_2_to_key_B,RETIO_official_answer_table_page_29,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,explainA,preserve,sha256:9812c2446d8ca487868e6fbd7fe20aa93fed1467e0156c01b82a78fd22e11c20;chars:76,sha256:9812c2446d8ca487868e6fbd7fe20aa93fed1467e0156c01b82a78fd22e11c20;chars:76,9812c2446d8ca487868e6fbd7fe20aa93fed1467e0156c01b82a78fd22e11c20,9812c2446d8ca487868e6fbd7fe20aa93fed1467e0156c01b82a78fd22e11c20,76,76,structurally_consistent_not_official_commentary,current_content_plus_official_stem_and_answer,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,explainB,preserve,sha256:3b08a7857a5fbc4aaedfe1570dc08fb318747f6e8d2addbfcb97390664281248;chars:59,sha256:3b08a7857a5fbc4aaedfe1570dc08fb318747f6e8d2addbfcb97390664281248;chars:59,3b08a7857a5fbc4aaedfe1570dc08fb318747f6e8d2addbfcb97390664281248,3b08a7857a5fbc4aaedfe1570dc08fb318747f6e8d2addbfcb97390664281248,59,59,structurally_consistent_not_official_commentary,current_content_plus_official_stem_and_answer,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,explainC,preserve,sha256:fd1d2563548d53f0b25d0cd1faedb677131b110d041134f0a1fdca2a99e24dd4;chars:72,sha256:fd1d2563548d53f0b25d0cd1faedb677131b110d041134f0a1fdca2a99e24dd4;chars:72,fd1d2563548d53f0b25d0cd1faedb677131b110d041134f0a1fdca2a99e24dd4,fd1d2563548d53f0b25d0cd1faedb677131b110d041134f0a1fdca2a99e24dd4,72,72,structurally_consistent_not_official_commentary,current_content_plus_official_stem_and_answer,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,explainD,preserve,sha256:f52c05f6ae4e07fd5e486c41e9f4e0b45fb9c53edd6e76c10d0716023d2201ee;chars:23,sha256:f52c05f6ae4e07fd5e486c41e9f4e0b45fb9c53edd6e76c10d0716023d2201ee;chars:23,f52c05f6ae4e07fd5e486c41e9f4e0b45fb9c53edd6e76c10d0716023d2201ee,f52c05f6ae4e07fd5e486c41e9f4e0b45fb9c53edd6e76c10d0716023d2201ee,23,23,structurally_consistent_not_official_commentary,current_content_plus_official_stem_and_answer,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,explainE,preserve,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,empty_preserved_no_fifth_option,current_content_plus_official_four_option_structure,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,explainShort,preserve,sha256:2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369;chars:33,sha256:2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369;chars:33,2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369,2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369,33,33,structurally_consistent_not_official_commentary,current_content_plus_official_stem_and_answer,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,explainLong,preserve,sha256:2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369;chars:33,sha256:2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369;chars:33,2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369,2c6dec8217e08bf1f9afefc1f7f92d5e96295aea7bb0f60b25851f78929d5369,33,33,structurally_consistent_not_official_commentary,current_content_plus_official_stem_and_answer,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,imageUrl,preserve,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,empty_and_official_page_has_no_figure,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,choiceImageUrl,preserve,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,empty_and_official_page_has_no_figure,RETIO_official_question_pdf_page_16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
R6takken-028,source_ref,preserve,sha256:8ae2386a03d795139ce494c960c8fc7cefb5be09273e5d420b5358fdc32ed81f;chars:45,sha256:8ae2386a03d795139ce494c960c8fc7cefb5be09273e5d420b5358fdc32ed81f;chars:45,8ae2386a03d795139ce494c960c8fc7cefb5be09273e5d420b5358fdc32ed81f,8ae2386a03d795139ce494c960c8fc7cefb5be09273e5d420b5358fdc32ed81f,45,45,preserve_existing_record_provenance_official_evidence_is_in_release_ledger,current_content_source_preserved,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,82a95815f991567ebc4982b05a15a71f6ec942bd6794c3bafe3bcf9c2e985bae,16,https://www.retio.or.jp/wp-content/uploads/2025/03/R6_question_answer.pdf,29,2,B,2024-04-01,after,before,false,approved_spec_pending_live_hash_preflight
